,tweet_id,dog_stage
9,890240255349198849,doggo
43,884162670584377345,doggo
99,872967104147763200,doggo
108,871515927908634625,doggo
110,871102520638267392,doggo
121,869596645499047938,doggo
172,858843525470990336,doggo
191,855851453814013952,doggo
200,854010172552949760,doggo
211,851953902622658560,doggo
240,846514051647705089,doggo
248,845397057150107648,doggo
300,836753516572119041,doggo
318,834574053763584002,doggo
323,834089966724603904,doggo
331,832998151111966721,doggo
339,832273440279240704,doggo
344,832032802820481025,doggo
345,831939777352105988,doggo
351,831322785565769729,doggo
359,829878982036299777,doggo
362,829449946868879360,doggo
363,829374341691346946,doggo
372,828381636999917570,doggo
384,826958653328592898,doggo
385,826848821049180160,doggo
389,826476773533745153,doggo
391,826204788643753985,doggo
423,821765923262631936,doggo
425,821421320206483457,doggo
426,821407182352777218,doggo
429,821107785811234820,doggo
440,819924195358416896,doggo
446,819015337530290176,doggo
447,819015331746349057,doggo
448,819006400881917954,doggo
449,819004803107983360,doggo
460,817777686764523521,doggo
489,813910438903693312,doggo
493,813202720496779264,doggo
499,813127251579564032,doggo
501,813096984823349248,doggo
531,808106460588765185,doggo
565,802265048156610565,doggo
574,801127390143516673,doggo
575,801115127852503040,doggo
576,800859414831898624,doggo
585,800018252395122689,doggo
587,799757965289017345,doggo
616,796484825502875648,doggo
624,795464331001561088,doggo
698,786363235746385920,doggo
705,785639753186217984,doggo
724,782747134529531904,doggo
727,782305867769217024,doggo
731,781655249211752448,doggo
733,781308096455073793,doggo
746,780074436359819264,doggo
764,777953400541634568,doggo
778,775898661951791106,doggo
780,775733305207554048,doggo
782,775364825476165632,doggo
807,771908950375665664,doggo
818,770743923962707968,doggo
822,770093767776997377,doggo
835,768193404517830656,doggo
839,767191397493538821,doggo
857,763956972077010945,doggo
877,760893934457552897,doggo
881,760521673607086080,doggo
889,759793422261743616,doggo
899,758828659922702336,doggo
914,757393109802180609,doggo
919,756526248105566208,doggo
924,755206590534418437,doggo
944,752682090207055872,doggo
945,752660715232722944,doggo
948,752334515931054080,doggo
956,751583847268179968,doggo
967,750381685133418496,doggo
977,750011400160841729,doggo
985,749075273010798592,doggo
989,748932637671223296,doggo
992,748692773788876800,doggo
1030,745433870967832576,doggo
1039,744234799360020481,doggo
1051,742534281772302336,doggo
1063,741067306818797568,doggo
1075,739623569819336705,doggo
1079,739238157791694849,doggo
1103,735256018284875776,doggo
1113,733109485275860992,doggo
1117,732375214819057664,doggo
1141,727644517743104000,doggo
1156,724771698126512129,doggo
1176,719991154352222208,doggo
1204,716080869887381504,doggo
2402,883360690899218434,floofer
2556,854010172552949760,floofer
2938,800388270626521089,floofer
3130,776218204058357768,floofer
3340,749317047558017024,floofer
3378,746542875601690625,floofer
3447,737445876994609152,floofer
3466,733822306246479872,floofer
3890,689993469801164801,floofer
3970,685307451701334016,floofer
4741,886366144734445568,pupper
4761,882762694511734784,pupper
4768,881536004380872706,pupper
4790,877611172832227328,pupper
4794,876838120628539392,pupper
4804,874296783580663808,pupper
4809,873337748698140672,pupper
4810,873213775632977920,pupper
4819,871762521631449091,pupper
4844,866816280283807744,pupper
4847,866450705531457537,pupper
4849,866094527597207552,pupper
4911,854120357044912130,pupper
4932,850019790995546112,pupper
4934,849668094696017920,pupper
4961,845306882940190720,pupper
4993,839290600511926273,pupper
5005,837820167694528512,pupper
5009,837110210464448512,pupper
5016,836380477523124226,pupper
5042,833124694597443584,pupper
5064,831315979191906304,pupper
5090,827933404142436356,pupper
5114,824325613288833024,pupper
5130,822462944365645825,pupper
5156,819238181065359361,pupper
5165,818588835076603904,pupper
5172,817777686764523521,pupper
5174,817502432452313088,pupper
5177,817181837579653120,pupper
5190,815966073409433600,pupper
5195,814986499976527872,pupper
5227,811386762094317568,pupper
5239,808733504066486276,pupper
5243,808106460588765185,pupper
5245,807621403335917568,pupper
5268,803638050916102144,pupper
5277,802265048156610565,pupper
5287,801115127852503040,pupper
5292,800459316964663297,pupper
5293,800443802682937345,pupper
5295,800188575492947969,pupper
5306,798705661114773508,pupper
5311,798682547630837760,pupper
5320,797971864723324932,pupper
5343,794205286408003585,pupper
5366,791821351946420224,pupper
5384,789903600034189313,pupper
5394,788552643979468800,pupper
5417,785639753186217984,pupper
5445,781308096455073793,pupper
5460,779377524342161408,pupper
5474,778039087836069888,pupper
5475,778027034220126208,pupper
5482,776819012571455488,pupper
5484,776477788987613185,pupper
5488,776113305656188928,pupper
5490,775898661951791106,pupper
5501,773985732834758656,pupper
5505,773547596996571136,pupper
5514,772193107915964416,pupper
5527,771004394259247104,pupper
5534,770093767776997377,pupper
5541,768909767477751808,pupper
5565,765371061932261376,pupper
5572,763167063695355904,pupper
5598,759943073749200896,pupper
5601,759793422261743616,pupper
5623,757597904299253760,pupper
5629,756939218950160384,pupper
5635,755955933503782912,pupper
5663,751950017322246144,pupper
5668,751583847268179968,pupper
5670,751456908746354688,pupper
5674,750868782890057730,pupper
5676,750506206503038976,pupper
5678,750383411068534784,pupper
5685,750071704093859840,pupper
5693,749417653287129088,pupper
5708,748337862848962560,pupper
5712,747963614829678593,pupper
5717,747651430853525504,pupper
5724,747242308580548608,pupper
5752,744223424764059648,pupper
5761,743222593470234624,pupper
5765,742465774154047488,pupper
5769,742150209887731712,pupper
5771,741743634094141440,pupper
5775,741067306818797568,pupper
5779,740676976021798912,pupper
5788,739606147276148736,pupper
5807,736392552031657984,pupper
5808,736365877722001409,pupper
5812,735648611367784448,pupper
5816,735137028879360001,pupper
5825,733109485275860992,pupper
5834,730573383004487680,pupper
5850,728035342121635841,pupper
5851,728015554473250816,pupper
5854,727524757080539137,pupper
5855,727314416056803329,pupper
5864,725786712245440512,pupper
5869,724405726123311104,pupper
5872,724004602748780546,pupper
5880,721001180231503872,pupper
5885,720340705894408192,pupper
5889,719704490224398336,pupper
5904,717790033953034240,pupper
5909,717009362452090881,pupper
5913,716447146686459905,pupper
5949,712309440758808576,pupper
5955,711968124745228288,pupper
5962,711008018775851008,pupper
5975,710117014656950272,pupper
5991,708845821941387268,pupper
6016,707411934438625280,pupper
6019,707315916783140866,pupper
6033,706310011488698368,pupper
6039,705975130514706432,pupper
6042,705786532653883392,pupper
6046,705428427625635840,pupper
6052,704859558691414016,pupper
6055,704761120771465216,pupper
6060,704347321748819968,pupper
6061,704134088924532736,pupper
6067,703611486317502464,pupper
6069,703407252292673536,pupper
6072,703268521220972544,pupper
6079,702598099714314240,pupper
6088,701805642395348998,pupper
6091,701545186879471618,pupper
6094,700864154249383937,pupper
6102,700151421916807169,pupper
6103,700143752053182464,pupper
6107,699801817392291840,pupper
6113,699434518667751424,pupper
6122,699036661657767936,pupper
6140,697616773278015490,pupper
6141,697596423848730625,pupper
6153,696877980375769088,pupper
6156,696713835009417216,pupper
6157,696518437233913856,pupper
6161,696100768806522880,pupper
6169,695095422348574720,pupper
6170,695074328191332352,pupper
6176,694356675654983680,pupper
6179,694329668942569472,pupper
6188,693629975228977152,pupper
6190,693590843962331137,pupper
6195,693262851218264065,pupper
6199,693095443459342336,pupper
6201,692905862751522816,pupper
6204,692828166163931137,pupper
6205,692752401762250755,pupper
6210,692417313023332352,pupper
6243,690015576308211712,pupper
6248,689905486972461056,pupper
6253,689623661272240129,pupper
6263,689143371370250240,pupper
6264,688916208532455424,pupper
6267,688894073864884227,pupper
6272,688519176466644993,pupper
6275,688179443353796608,pupper
6280,687818504314159109,pupper
6283,687704180304273409,pupper
6287,687476254459715584,pupper
6291,687312378585812992,pupper
6296,687096057537363968,pupper
6298,686760001961103360,pupper
6301,686683045143953408,pupper
6302,686618349602762752,pupper
6306,686377065986265092,pupper
6312,686007916130873345,pupper
6315,685943807276412928,pupper
6318,685667379192414208,pupper
6320,685641971164143616,pupper
6321,685547936038666240,pupper
6327,685268753634967552,pupper
6329,685169283572338688,pupper
6336,684880619965411328,pupper
6337,684830982659280897,pupper
6340,684588130326986752,pupper
6352,684147889187209216,pupper
6358,683834909291606017,pupper
6359,683828599284170753,pupper
6364,683481228088049664,pupper
6365,683462770029932544,pupper
6369,683142553609318400,pupper
6370,683111407806746624,pupper
6372,683078886620553216,pupper
6376,682788441537560576,pupper
6382,682406705142087680,pupper
6394,681891461017812993,pupper
6395,681694085539872773,pupper
6396,681679526984871937,pupper
6397,681654059175129088,pupper
6409,681231109724700672,pupper
6417,680836378243002368,pupper
6425,680473011644985345,pupper
6429,680191257256136705,pupper
6430,680176173301628928,pupper
6432,680145970311643136,pupper
6435,680100725817409536,pupper
6444,679828447187857408,pupper
6445,679777920601223168,pupper
6450,679527802031484928,pupper
6452,679503373272485890,pupper
6465,678800283649069056,pupper
6472,678708137298427904,pupper
6480,678389028614488064,pupper
6482,678341075375947776,pupper
6484,678278586130948096,pupper
6500,677557565589463040,pupper
6509,677269281705472000,pupper
6518,676936541936185344,pupper
6519,676916996760600576,pupper
6523,676819651066732545,pupper
6526,676617503762681856,pupper
6529,676603393314578432,pupper
6530,676593408224403456,pupper
6534,676575501977128964,pupper
6537,676470639084101634,pupper
6540,676263575653122048,pupper
6550,675898130735476737,pupper
6557,675845657354215424,pupper
6562,675740360753160193,pupper
6579,675334060156301312,pupper
6587,675113801096802304,pupper
6592,675006312288268288,pupper
6601,674774481756377088,pupper
6609,674737130913071104,pupper
6615,674638615994089473,pupper
6619,674447403907457024,pupper
6627,674318007229923329,pupper
6633,674262580978937856,pupper
6642,674038233588723717,pupper
6648,673956914389192708,pupper
6649,673919437611909120,pupper
6657,673707060090052608,pupper
6660,673697980713705472,pupper
6666,673656262056419329,pupper
6668,673612854080196609,pupper
6672,673363615379013632,pupper
6679,673342308415348736,pupper
6682,673295268553605120,pupper
6686,673148804208660480,pupper
6689,672988786805112832,pupper
6692,672975131468300288,pupper
6693,672970152493887488,pupper
6697,672898206762672129,pupper
6703,672622327801233409,pupper
6704,672614745925664768,pupper
6707,672594978741354496,pupper
6714,672481316919734272,pupper
6721,672254177670729728,pupper
6727,672205392827572224,pupper
6729,672160042234327040,pupper
7080,889665388333682689,puppo
7082,889531135344209921,puppo
7139,878776093423087618,puppo
7162,874012996292530176,puppo
7197,867421006826221569,puppo
7236,859607811541651456,puppo
7259,855851453814013952,puppo
7463,825535076884762624,puppo
7465,825120256414846976,puppo
7466,825026590719483904,puppo
7481,822872901745569793,puppo
7506,820013781606658049,puppo
7507,819952236453363712,puppo
7537,816829038950027264,puppo
7614,805823200554876929,puppo
7622,803773340896923648,puppo
7635,802239329049477120,puppo
7683,796563435802726400,puppo
7711,793195938047070209,puppo
7731,790946055508652032,puppo
7757,787717603741622272,puppo
7769,786051337297522688,puppo
7781,784183165795655680,puppo
7804,780931614150983680,puppo
7990,756275833623502848,puppo
8015,752519690950500352,puppo
8029,751132876104687617,puppo
8103,744995568523612160,puppo
8116,743253157753532416,puppo
8151,738537504001953792,puppo
